Player,Pos,TRB,AST,PTS
E'Twaun Moore,SF,2.4,1.9,11.9
Jae Crowder,SF,4.8,1.7,12
Trevor Ariza,SF,5.4,3.7,12.5
Otto Porter,SF,5.6,2,12.6
Kelly Oubre,SF,4.4,0.7,12.9
Cedi Osman,SF,4.8,2.6,13
Wesley Matthews,SF,2.3,2.3,13.1
Caris LeVert,SF,3.9,3.9,13.2
Robert Covington,SF,5.5,1.3,13.3
Taurean Waller-Prince,SF,3.7,2.2,13.4
Otto Porter,SF,5.6,2.1,13.9
Trevor Ariza,SF,5.3,3.8,14.1
Robert Covington,SF,5.7,1.5,14.5
Harrison Barnes,SF,6,2.1,15.1
Kelly Oubre,SF,4.7,1.2,15.2
Jayson Tatum,SF,6.2,2.1,16
Kelly Oubre,SF,4.9,1.6,16.9
Otto Porter,SF,5.5,2.7,17.5
Andrew Wiggins,SF,4.8,2.4,17.7
Khris Middleton,SF,6.1,4.3,17.8
Bojan Bogdanovic,SF,4.1,1.9,17.9
T.J. Warren,SF,4,1.5,18
Brandon Ingram,SF,5.1,3,18.3
Jimmy Butler,SF,5.2,4.1,18.8
Tobias Harris,SF,8,2.8,19
Danilo Gallinari,SF,6,2.5,19.8
Kawhi Leonard,SF,7.4,3.3,27
LeBron James,SF,8.6,8.2,27.4
Paul George,SF,8.2,4.2,28.2
Ryan Anderson,PF,0.4,0.3,1
Kostas Antetokounmpo,PF,0.5,0,1
Isaiah Hicks,PF,0,1,1
Terrence Jones,PF,2,0,1
Emanuel Terry,PF,1,1,1
Amile Jefferson,PF,1.3,0.1,1.3
Quincy Acy,PF,2.5,0.8,1.7
Marquese Chriss,PF,1.8,0.4,1.8
Chimezie Metu,PF,1.2,0.4,1.8
Eric Moreland,PF,4,1,1.8
Isaiah Hartenstein,PF,1.7,0.5,1.9
Ray Spalding,PF,2.4,0.4,1.9
Caleb Swanigan,PF,2.9,0.4,1.9
Drew Eubanks,PF,1.4,0.4,2
Skal Labissiere,PF,1.4,0.3,2
Zhou Qi,PF,0,0,2
Guerschon Yabusele,PF,1.2,0.4,2.1
Jason Smith,PF,1.8,0.2,2.2
Ray Spalding,PF,2.8,0.5,2.2
Eric Moreland,PF,4.3,1.3,2.3
Duncan Robinson,PF,1,0.1,2.3
Mike Muscala,PF,1.2,0.5,2.5
Gary Clark,PF,2.3,0.4,2.8
Skal Labissiere,PF,1.8,0.5,2.8
Christian Wood,PF,1.5,0.2,2.8
Ryan Anderson,PF,2.2,0.9,2.9
Jarell Martin,PF,1.7,0.4,2.9
Chris Boucher,PF,1.7,0,3
Marcus Derrickson,PF,0.9,0.1,3.1
Dante Cunningham,PF,3.1,0.8,3.2
Georges Niang,PF,1.3,0.5,3.2
Semi Ojeleye,PF,1.5,0.4,3.2
Emanuel Terry,PF,2.3,0.7,3.3
T.J. Leaf,PF,2,0.4,3.4
Alan Williams,PF,4.3,0.8,3.5
Ryan Anderson,PF,3,1.1,3.7
Dragan Bender,PF,3.1,0.9,3.8
Patrick Patterson,PF,2.4,0.5,3.8
Jason Smith,PF,2,0.5,4
Jonah Bolden,PF,3.4,0.8,4.1
Jon Leuer,PF,2.5,0.4,4.1
Marquese Chriss,PF,3.1,0.6,4.3
Lance Thomas,PF,2.4,0.6,4.4
Emanuel Terry,PF,3,0.5,4.5
Christian Wood,PF,2,0.3,4.5
Jared Dudley,PF,2.5,1.4,4.7
Johnathan Motley,PF,2.2,0.4,4.7
Mike Scott,PF,3.3,0.8,4.8
Anthony Tolliver,PF,2.6,0.7,4.8
Luc Mbah a Moute,PF,1.8,0.5,5
Henry Ellenson,PF,3.5,1.1,5.1
Alex Poythress,PF,3.6,0.8,5.1
Henry Ellenson,PF,3.6,1,5.2
D.J. Wilson,PF,4.1,0.9,5.3
Ivan Rabb,PF,3.8,0.9,5.4
Thon Maker,PF,3.6,0.9,5.5
Mike Scott,PF,3.4,0.8,5.5
Cheick Diallo,PF,4.9,0.4,5.8
Omari Spellman,PF,4.2,1,5.9
Henry Ellenson,PF,4.5,0.5,6
Luke Kornet,PF,2.4,1,6.1
Marquese Chriss,PF,4.2,0.8,6.2
Juan Hernangomez,PF,4,0.8,6.2
Sam Dekker,PF,3.7,1,6.3
Dirk Nowitzki,PF,2.4,0.6,6.3
Jonas Jerebko,PF,4.2,1.3,6.4
Markieff Morris,PF,3.6,0.6,6.4
Mike Muscala,PF,3.7,1.2,6.5
Wilson Chandler,PF,4.7,2,6.7
Kyle Korver,PF,1.8,1.1,6.8
Ersan Ilyasova,PF,4.4,0.8,6.9
Michael Beasley,PF,2.3,1,7
Harry Giles,PF,3.8,1.5,7
Michael Kidd-Gilchrist,PF,4,0.9,7
Maxi Kleber,PF,4.5,1,7
Draymond Green,PF,7.3,6.9,7.1
JaMychal Green,PF,6.7,0.4,7.4
Mike Muscala,PF,4.3,1.3,7.4
Mike Scott,PF,3.6,0.8,7.4
P.J. Tucker,PF,6,1.2,7.4
Davis Bertans,PF,3.6,1.3,7.9
James Johnson,PF,3.3,2.3,7.9
Noah Vonleh,PF,7.8,1.9,8.4
Trey Lyles,PF,3.9,1.4,8.8
JaMychal Green,PF,6.3,0.7,9.1
Al-Farouq Aminu,PF,7.4,1.3,9.3
Jonathan Isaac,PF,5.4,1.1,9.5
Nemanja Bjelica,PF,6.1,2,9.6
JaMychal Green,PF,6.1,0.9,9.8
Markieff Morris,PF,4.6,1.4,9.9
Dario Saric,PF,5.5,1.4,10.1
Kelly Olynyk,PF,4.7,1.9,10.2
Dario Saric,PF,5.7,1.5,10.3
Marvin Williams,PF,5.5,1.2,10.3
Taj Gibson,PF,6.5,1.2,10.8
Gordon Hayward,PF,4.4,3.4,10.9
Dario Saric,PF,6.6,2,11.1
Markieff Morris,PF,5.1,1.8,11.5
Nikola Mirotic,PF,5.4,1.4,11.6
Jeff Green,PF,4.1,1.8,12.4
Thaddeus Young,PF,6.5,2.4,12.4
Kevin Knox,PF,4.3,1,12.6
Justise Winslow,PF,5.4,4.3,12.7
Paul Millsap,PF,7.3,2,12.8
Jerami Grant,PF,5.3,1,13.2
Carmelo Anthony,PF,5.4,0.5,13.4
Jaren Jackson,PF,4.7,1.1,13.8
Rudy Gay,PF,6.6,2.6,14
Bobby Portis,PF,7.3,1.3,14.1
Marcus Morris,PF,6.2,1.5,14.2
Jabari Parker,PF,6.2,2.2,14.3
Bobby Portis,PF,7.8,1.4,14.3
Jabari Parker,PF,6.5,2.4,14.4
Bobby Portis,PF,8.3,1.4,14.6
Marvin Bagley,PF,7.3,1,14.7
Jabari Parker,PF,7.2,2.9,14.7
Christian Wood,PF,5,1,15
Nikola Mirotic,PF,7.4,1.2,15.2
Aaron Gordon,PF,7.4,3.6,15.9
Nikola Mirotic,PF,8.3,1.1,16.7
Pascal Siakam,PF,6.9,3.1,16.8
Kevin Love,PF,11.4,2.3,17.6
Harrison Barnes,PF,4.2,1.3,17.7
Kyle Kuzma,PF,5.5,2.6,18.6
Lauri Markkanen,PF,9,1.4,18.7
John Collins,PF,9.7,1.9,19.3
Tobias Harris,PF,7.9,2.7,20.9
Blake Griffin,PF,7.6,5.5,24.7
Kevin Durant,PF,6.5,5.7,26.8
Giannis Antetokounmpo,PF,12.6,6,27.3
Deyonta Davis,C,0.5,0,1
Pau Gasol,C,3.3,0.7,1.3
Thomas Welsh,C,0.4,0.5,1.6
Justin Patton,C,2,1,1.7
Ekpe Udoh,C,1.3,0.4,1.9
Salah Mejri,C,2.7,0.7,2.5
Robert Williams,C,2.2,0.2,2.6
Jordan Bell,C,2.7,1,3
Angel Delgado,C,4,0,3
Tyson Chandler,C,5.6,0.7,3.1
Tyson Chandler,C,5.6,0.6,3.1
Channing Frye,C,1.5,0.6,3.4
Kyle O'Quinn,C,2.7,1.3,3.4
Kosta Koufos,C,4.1,0.8,3.5
Nene Hilario,C,2.9,0.6,3.6
Tyson Chandler,C,5.6,0.9,3.7
Jason Smith,C,3.1,1,3.7
Cristiano Felicio,C,3.3,0.5,3.8
Pau Gasol,C,4.6,1.7,3.9
Amir Johnson,C,2.8,1.2,3.9
Ian Mahinmi,C,3.4,0.8,3.9
Greg Monroe,C,2,1,4
Zaza Pachulia,C,4.1,1.4,4
Moritz Wagner,C,1.7,0.6,4
Pau Gasol,C,4.7,1.9,4.2
Bismack Biyombo,C,4.5,0.5,4.4
Miles Plumlee,C,2.2,0.9,4.4
Khem Birch,C,3.7,0.7,4.5
Johnathan Williams,C,3.1,0.4,4.6
Thon Maker,C,2.7,0.5,4.7
Greg Monroe,C,4.1,0.4,4.8
Greg Monroe,C,4.1,0.4,4.8
Nerlens Noel,C,4.3,0.6,4.9
Marcin Gortat,C,5.6,1.4,5
Kenneth Faried,C,3.7,0.2,5.1
Aron Baynes,C,4.2,1.1,5.3
Andrew Bogut,C,6.3,2,5.3
Gorgui Dieng,C,3.9,0.8,5.4
Damian Jones,C,3.1,1.2,5.4
Jakob Poeltl,C,5.4,1.2,5.5
John Henson,C,5.1,1,5.6
Ed Davis,C,8.7,0.8,5.8
Meyers Leonard,C,3.7,1.2,5.8
Daniel Theis,C,3.5,1.1,5.8
Mohamed Bamba,C,5,0.8,6.2
Kevon Looney,C,5.5,1.6,6.2
Zach Collins,C,4.2,0.9,6.4
Boban Marjanovic,C,4.2,0.6,6.7
Mitchell Robinson,C,5.7,0.6,6.7
Boban Marjanovic,C,4.5,0.8,6.9
Joakim Noah,C,5.7,2.1,7.1
Willy Hernangomez,C,5.5,1,7.3
Jahlil Okafor,C,4.4,0.6,7.3
Boban Marjanovic,C,5.3,1.2,7.4
Ante Zizic,C,5.4,0.8,7.4
Frank Kaminsky,C,3.2,1.3,7.5
Mason Plumlee,C,6.3,2.9,7.9
Richaun Holmes,C,4.6,0.8,8
Ivica Zubac,C,4.9,0.8,8.5
Bam Adebayo,C,7,2.3,8.6
Ivica Zubac,C,6,1.1,8.7
Ivica Zubac,C,7.9,1.7,8.9
Marc Gasol,C,6.5,3.7,9.2
Robin Lopez,C,3.8,1.1,9.2
Larry Nance,C,7.8,3.1,9.3
Thomas Bryant,C,5.8,1.1,9.8
Cody Zeller,C,6.8,2.1,10.1
Wendell Carter,C,7,1.8,10.3
Dwight Powell,C,5.1,1.4,10.3
Enes Kanter,C,7.1,1.5,10.4
Alex Len,C,5.5,1,10.4
Kenneth Faried,C,6.9,0.6,10.5
Dewayne Dedmon,C,7.5,1.4,10.9
DeAndre Jordan,C,13.7,2,11
Tristan Thompson,C,10.5,2,11
DeAndre Jordan,C,13.2,2.2,11.1
Jarrett Allen,C,8.4,1.4,11.2
DeAndre Jordan,C,11.6,2.9,11.3
JaVale McGee,C,7.2,0.6,11.6
